customer_id,age,gender,region,registration_year,account_age_years,prime_status,membership_tier,total_orders,total_spend_usd,avg_order_value,return_rate_pct,num_returns,top_category,unique_categories_browsed,avg_review_score,num_reviews_written,wishlist_items,avg_daily_browsing_min,preferred_device,preferred_payment,discount_usage_rate_pct,coupon_redemptions,subscription_services,last_purchase_days_ago,customer_lifetime_value,churn_risk_score,satisfaction_rating,customer_segment_label
AMZ-100010,34,Male,East Asia,2015,10,Prime,Platinum,4,185.78,46.45,50.0,2,Toys,1,3.4,1,5,58,Tablet,Credit Card,40.21,22,4,224,244.7,0.6807,Neutral,Occasional Buyer
AMZ-100011,34,Male,Latin America,2022,3,Prime,Diamond,72,2855.7,39.66,2.78,2,Automotive,6,5.0,23,20,127,Desktop,Amazon Pay,37.62,33,2,510,2984.62,0.8353,Satisfied,Loyal Shopper
AMZ-100012,43,Non-Binary,Middle East,2017,8,Non-Prime,Platinum,79,2934.43,37.14,2.53,2,Office,3,4.5,18,45,79,Smart TV,UPI,27.89,6,3,488,3948.18,0.3867,Very Satisfied,Loyal Shopper
AMZ-100013,24,Male,South Asia,2017,8,Non-Prime,Diamond,32,13052.52,407.89,0.0,0,Books,9,4.4,48,27,89,Mobile,Cash on Delivery,19.35,11,4,36,18812.83,0.1887,Neutral,Premium Spender
AMZ-100014,50,Non-Binary,South Asia,2020,5,Non-Prime,Diamond,13,344.45,26.5,30.77,4,Office,8,4.0,10,43,237,Mobile,Gift Card,74.85,35,3,253,346.03,0.1015,Neutral,Bargain Hunter
AMZ-100015,33,Female,Middle East,2017,8,Prime,Silver,49,14683.97,299.67,2.04,1,Books,9,3.6,35,26,105,Alexa,Cash on Delivery,56.97,32,4,503,19453.57,0.8492,Very Satisfied,Premium Spender
AMZ-100016,55,Female,North America,2020,5,Prime,Diamond,1,219.43,219.43,200.0,2,Clothing,3,3.1,7,14,31,Smart TV,Credit Card,50.49,33,4,608,282.73,0.4925,Satisfied,Occasional Buyer
AMZ-100017,61,Male,Middle East,2015,10,Prime,Platinum,5,176.6,35.32,60.0,3,Grocery,5,3.0,5,17,44,Alexa,Debit Card,29.61,36,4,496,225.41,0.5723,Satisfied,Occasional Buyer
AMZ-100018,20,Male,Middle East,2015,10,Non-Prime,Silver,79,4382.64,55.48,0.0,0,Office,2,3.9,24,32,91,Tablet,Gift Card,31.58,2,1,287,5853.33,0.3586,Satisfied,Loyal Shopper
AMZ-100019,65,Female,East Asia,2020,5,Prime,Gold,14,714.16,51.01,14.29,2,Electronics,7,4.0,28,62,226,Desktop,UPI,23.72,25,2,407,1040.26,0.5113,Neutral,Bargain Hunter
AMZ-100020,40,Non-Binary,Southeast Asia,2017,8,Prime,Gold,29,539.53,18.6,31.03,9,Clothing,2,2.9,1,33,233,Smart TV,UPI,35.08,21,2,664,581.35,0.9818,Neutral,Bargain Hunter
AMZ-100021,60,Non-Binary,East Asia,2020,5,Non-Prime,Diamond,41,3281.5,80.04,2.44,1,Home & Kitchen,5,3.5,32,24,129,Alexa,Cash on Delivery,66.23,4,3,349,4168.55,0.6374,Satisfied,Loyal Shopper
AMZ-100022,36,Female,Latin America,2015,10,Non-Prime,Platinum,71,1357.53,19.12,1.41,1,Automotive,7,5.0,25,28,89,Alexa,Gift Card,2.03,22,0,640,1475.16,0.1564,Satisfied,Loyal Shopper
AMZ-100023,22,Male,North America,2021,4,Prime,Silver,6,267.85,44.64,33.33,2,Office,6,2.7,28,20,206,Alexa,Debit Card,33.57,11,1,655,289.1,0.1202,Neutral,Bargain Hunter
AMZ-100024,29,Male,North America,2019,6,Non-Prime,Silver,4,11.61,2.9,0.0,0,Home & Kitchen,5,1.1,38,3,13,Mobile,Credit Card,27.7,29,4,22,11.89,0.9491,Dissatisfied,Inactive User
AMZ-100025,22,Non-Binary,South Asia,2022,3,Prime,Diamond,4,74.92,18.73,25.0,1,Home & Kitchen,4,2.7,15,1,28,Alexa,Debit Card,5.65,1,0,159,110.14,0.5755,Neutral,Occasional Buyer
AMZ-100026,29,Female,South Asia,2019,6,Prime,Diamond,1,57.34,57.34,0.0,0,Home & Kitchen,3,1.3,0,2,18,Mobile,Credit Card,76.9,9,2,555,65.19,0.2146,Neutral,Inactive User
AMZ-100027,68,Female,Southeast Asia,2016,9,Prime,Silver,16,3467.56,216.72,0.0,0,Books,9,4.2,6,14,47,Mobile,Gift Card,9.45,10,4,375,4742.01,0.8035,Neutral,Premium Spender
AMZ-100028,65,Male,South Asia,2017,8,Prime,Diamond,9,351.38,39.04,33.33,3,Clothing,4,2.8,17,17,44,Smart TV,Debit Card,20.0,31,4,368,470.82,0.7399,Neutral,Occasional Buyer
AMZ-100029,39,Male,East Asia,2023,2,Prime,Diamond,3,106.72,35.57,33.33,1,Grocery,3,3.8,48,16,29,Mobile,Credit Card,4.28,18,3,264,123.76,0.9501,Dissatisfied,Occasional Buyer
AMZ-100030,69,Male,East Asia,2023,2,Prime,Gold,3,57.34,19.11,0.0,0,Toys,5,2.3,35,2,4,Smart TV,Gift Card,75.7,15,0,38,59.95,0.4944,Dissatisfied,Inactive User
AMZ-100031,64,Male,South Asia,2016,9,Prime,Silver,58,4982.91,85.91,3.45,2,Toys,9,3.6,9,38,146,Tablet,Cash on Delivery,66.96,16,4,229,5192.46,0.701,Satisfied,Loyal Shopper
AMZ-100032,36,Female,Latin America,2020,5,Non-Prime,Diamond,23,12862.32,559.23,17.39,4,Clothing,8,4.4,47,9,68,Desktop,Amazon Pay,69.05,21,3,656,18954.23,0.986,Neutral,Premium Spender
AMZ-100033,56,Non-Binary,Latin America,2017,8,Non-Prime,Silver,23,2270.92,98.74,8.7,2,Beauty,3,4.6,44,48,120,Mobile,Credit Card,0.91,27,1,659,2405.83,0.1175,Very Satisfied,Loyal Shopper
AMZ-100034,50,Non-Binary,East Asia,2022,3,Non-Prime,Gold,0,74.42,74.42,100.0,1,Electronics,6,2.4,5,0,16,Alexa,Credit Card,64.17,31,4,148,76.03,0.9246,Very Dissatisfied,Inactive User
AMZ-100035,70,Non-Binary,North America,2015,10,Non-Prime,Gold,79,1109.95,14.05,0.0,0,Toys,6,4.3,2,23,77,Mobile,UPI,72.09,10,3,329,1637.4,0.8903,Very Satisfied,Loyal Shopper
AMZ-100036,67,Non-Binary,North America,2022,3,Prime,Platinum,31,1248.38,40.27,3.23,1,Sports,5,4.0,40,45,151,Desktop,Net Banking,20.8,26,0,200,1441.58,0.8138,Very Satisfied,Loyal Shopper
AMZ-100037,22,Female,Southeast Asia,2017,8,Prime,Platinum,12,199.03,16.59,16.67,2,Automotive,9,2.3,1,18,15,Tablet,Cash on Delivery,6.62,29,1,250,203.53,0.0264,Neutral,Occasional Buyer
AMZ-100038,39,Female,Middle East,2023,2,Non-Prime,Silver,5,644.32,128.86,160.0,8,Books,1,3.5,12,45,100,Alexa,Debit Card,5.08,34,0,404,662.48,0.8647,Neutral,Bargain Hunter
AMZ-100039,27,Male,Europe,2019,6,Prime,Gold,0,53.43,53.43,0.0,0,Beauty,3,2.5,16,4,4,Tablet,Debit Card,19.29,8,0,50,60.77,0.2072,Very Dissatisfied,Inactive User
AMZ-100040,71,Non-Binary,Europe,2016,9,Non-Prime,Silver,15,11060.41,737.36,20.0,3,Grocery,6,4.2,2,11,111,Tablet,Net Banking,41.61,11,0,53,16413.5,0.0884,Very Satisfied,Premium Spender
AMZ-100041,28,Female,North America,2016,9,Prime,Gold,29,512.97,17.69,27.59,8,Sports,3,3.5,38,33,174,Tablet,UPI,10.91,33,1,97,676.26,0.5548,Neutral,Bargain Hunter
AMZ-100042,59,Male,Latin America,2021,4,Non-Prime,Platinum,70,4597.47,65.68,1.43,1,Grocery,3,4.0,16,33,156,Smart TV,Amazon Pay,75.96,3,1,183,6533.22,0.7689,Satisfied,Loyal Shopper
AMZ-100043,64,Non-Binary,Southeast Asia,2017,8,Prime,Silver,24,421.4,17.56,25.0,6,Electronics,9,4.5,22,62,215,Tablet,Cash on Delivery,10.24,30,2,373,568.4,0.1801,Neutral,Bargain Hunter
AMZ-100044,68,Male,Latin America,2016,9,Prime,Diamond,23,2251.8,97.9,8.7,2,Grocery,3,4.8,20,38,86,Mobile,Credit Card,13.51,27,1,533,2351.67,0.1206,Satisfied,Loyal Shopper
AMZ-100045,43,Male,Middle East,2023,2,Prime,Platinum,13,349.19,26.86,15.38,2,Office,9,4.3,46,64,167,Alexa,Debit Card,50.23,29,2,47,359.85,0.2769,Dissatisfied,Bargain Hunter
AMZ-100046,39,Male,Europe,2022,3,Prime,Silver,15,4014.2,267.61,20.0,3,Beauty,7,4.2,13,19,118,Desktop,Net Banking,37.0,25,2,311,4281.38,0.6872,Satisfied,Premium Spender
AMZ-100047,68,Female,East Asia,2017,8,Non-Prime,Diamond,42,2949.05,70.22,0.0,0,Office,9,4.3,36,47,77,Desktop,Debit Card,14.58,38,0,272,3260.84,0.3275,Very Satisfied,Loyal Shopper
AMZ-100048,58,Female,North America,2017,8,Prime,Platinum,63,1779.51,28.25,0.0,0,Toys,2,4.0,46,19,127,Desktop,Amazon Pay,46.74,21,1,622,2442.77,0.4317,Very Satisfied,Loyal Shopper
AMZ-100049,62,Female,East Asia,2022,3,Prime,Diamond,38,2390.85,62.92,2.63,1,Home & Kitchen,6,4.0,36,43,123,Desktop,Cash on Delivery,74.7,21,4,709,2827.61,0.4878,Very Satisfied,Loyal Shopper
AMZ-100050,54,Female,East Asia,2022,3,Prime,Gold,44,5238.8,119.06,0.0,0,Electronics,4,3.6,23,23,42,Desktop,Gift Card,8.96,1,3,74,7505.91,0.8171,Neutral,Premium Spender
AMZ-100051,43,Male,East Asia,2022,3,Prime,Platinum,1,319.91,319.91,100.0,1,Grocery,3,3.4,44,15,11,Smart TV,Net Banking,61.56,5,1,117,433.63,0.1995,Dissatisfied,Occasional Buyer
AMZ-100052,30,Male,North America,2018,7,Prime,Gold,3,24.24,8.08,33.33,1,Office,3,1.2,32,4,13,Tablet,Credit Card,29.54,9,4,649,36.24,0.3224,Very Dissatisfied,Inactive User
AMZ-100053,55,Female,Europe,2022,3,Non-Prime,Platinum,6,161.51,26.92,33.33,2,Toys,7,2.8,34,28,106,Alexa,UPI,27.91,4,3,235,194.5,0.9329,Dissatisfied,Bargain Hunter
AMZ-100054,46,Non-Binary,South Asia,2020,5,Prime,Silver,15,756.84,50.46,26.67,4,Toys,8,2.9,10,59,90,Mobile,UPI,63.62,13,3,290,819.0,0.8146,Satisfied,Bargain Hunter
AMZ-100055,35,Non-Binary,Latin America,2023,2,Non-Prime,Gold,2,63.38,31.69,0.0,0,Beauty,8,2.8,7,1,12,Smart TV,Credit Card,35.13,13,2,636,72.93,0.7476,Neutral,Inactive User
AMZ-100056,57,Female,Latin America,2019,6,Prime,Platinum,1,177.72,177.72,200.0,2,Grocery,8,3.8,38,14,11,Tablet,Net Banking,9.35,5,2,390,242.64,0.6937,Satisfied,Occasional Buyer
AMZ-100057,50,Female,Latin America,2023,2,Prime,Gold,29,13543.55,467.02,6.9,2,Home & Kitchen,5,4.0,26,10,75,Smart TV,Net Banking,59.52,3,1,521,16888.68,0.7546,Neutral,Premium Spender
AMZ-100058,22,Non-Binary,South Asia,2022,3,Non-Prime,Platinum,27,4327.58,160.28,11.11,3,Toys,4,4.7,11,19,95,Alexa,Cash on Delivery,61.75,26,2,291,5877.24,0.599,Very Satisfied,Premium Spender
AMZ-100059,64,Female,South Asia,2021,4,Prime,Platinum,24,227.12,9.46,29.17,7,Automotive,8,4.3,17,91,223,Smart TV,Gift Card,48.92,39,3,682,332.97,0.5651,Satisfied,Bargain Hunter
AMZ-100060,71,Non-Binary,South Asia,2023,2,Non-Prime,Silver,23,4118.36,179.06,8.7,2,Sports,3,3.5,28,37,165,Alexa,Net Banking,8.34,21,2,406,4371.25,0.2359,Satisfied,Loyal Shopper
AMZ-100061,32,Male,East Asia,2022,3,Prime,Platinum,1,83.89,83.89,0.0,0,Home & Kitchen,5,1.2,46,2,0,Desktop,Debit Card,4.38,8,1,435,116.93,0.6037,Very Dissatisfied,Inactive User
AMZ-100062,35,Male,Southeast Asia,2021,4,Non-Prime,Silver,7,378.72,54.1,57.14,4,Automotive,2,3.6,26,21,127,Smart TV,Net Banking,36.18,23,0,179,458.05,0.9148,Neutral,Bargain Hunter
AMZ-100063,24,Non-Binary,Latin America,2015,10,Prime,Diamond,0,78.05,78.05,100.0,1,Toys,1,1.6,19,4,17,Desktop,Debit Card,36.72,19,3,62,116.95,0.5022,Dissatisfied,Inactive User
AMZ-100064,49,Female,South Asia,2017,8,Prime,Diamond,5,316.96,63.39,80.0,4,Electronics,1,3.3,44,75,212,Alexa,Debit Card,30.22,15,2,17,363.56,0.7141,Neutral,Bargain Hunter
AMZ-100065,25,Male,East Asia,2015,10,Prime,Platinum,22,467.07,21.23,13.64,3,Automotive,7,3.4,38,23,152,Alexa,Cash on Delivery,60.26,9,1,161,562.52,0.0254,Satisfied,Bargain Hunter
AMZ-100066,20,Non-Binary,Southeast Asia,2021,4,Prime,Diamond,3,83.98,27.99,33.33,1,Automotive,8,2.7,22,0,0,Tablet,Cash on Delivery,53.75,7,0,238,107.89,0.8875,Very Dissatisfied,Inactive User
AMZ-100067,69,Non-Binary,Southeast Asia,2018,7,Non-Prime,Gold,47,1800.37,38.31,2.13,1,Sports,5,3.6,20,25,91,Smart TV,Credit Card,32.51,17,1,672,1987.51,0.0265,Satisfied,Loyal Shopper
AMZ-100068,37,Female,Europe,2019,6,Prime,Silver,13,532.04,40.93,7.69,1,Clothing,2,3.3,2,1,11,Desktop,Debit Card,47.22,11,3,260,623.87,0.7738,Neutral,Occasional Buyer
AMZ-100069,63,Male,Latin America,2022,3,Prime,Silver,23,8233.52,357.98,13.04,3,Toys,7,3.6,31,21,63,Smart TV,Amazon Pay,34.02,16,0,551,11110.5,0.4026,Very Satisfied,Premium Spender
AMZ-100070,54,Female,North America,2021,4,Prime,Diamond,0,13.94,13.94,100.0,1,Toys,6,2.7,17,1,12,Alexa,Net Banking,42.37,35,0,33,17.8,0.6514,Very Dissatisfied,Inactive User
AMZ-100071,44,Female,Southeast Asia,2020,5,Prime,Platinum,16,244.49,15.28,37.5,6,Sports,8,2.5,33,76,116,Smart TV,Cash on Delivery,48.04,6,1,684,346.94,0.4044,Dissatisfied,Bargain Hunter
AMZ-100072,43,Non-Binary,Latin America,2017,8,Non-Prime,Gold,16,4995.4,312.21,12.5,2,Automotive,5,4.5,10,8,92,Desktop,Amazon Pay,23.1,35,0,186,5737.52,0.5664,Very Satisfied,Premium Spender
AMZ-100073,64,Male,Southeast Asia,2018,7,Prime,Diamond,48,7759.79,161.66,8.33,4,Clothing,4,4.9,18,5,95,Smart TV,Debit Card,47.61,16,2,364,8359.9,0.6233,Neutral,Premium Spender
AMZ-100074,59,Male,Southeast Asia,2022,3,Non-Prime,Silver,1,10.66,10.66,0.0,0,Books,9,1.2,38,0,0,Smart TV,Debit Card,6.07,36,3,171,15.82,0.0053,Neutral,Inactive User
AMZ-100075,66,Male,Europe,2023,2,Prime,Platinum,26,7331.69,281.99,7.69,2,Home & Kitchen,8,3.2,18,21,88,Smart TV,Amazon Pay,58.58,20,0,726,9986.14,0.6372,Satisfied,Premium Spender
AMZ-100076,34,Female,East Asia,2021,4,Prime,Platinum,8,187.32,23.41,25.0,2,Books,7,3.0,25,9,35,Smart TV,Credit Card,45.44,6,4,518,215.17,0.9244,Dissatisfied,Occasional Buyer
AMZ-100077,59,Female,South Asia,2016,9,Non-Prime,Silver,1,42.18,42.18,0.0,0,Electronics,7,2.6,16,2,19,Mobile,Debit Card,52.01,23,2,619,44.72,0.077,Dissatisfied,Inactive User
AMZ-100078,66,Non-Binary,South Asia,2022,3,Prime,Gold,56,3027.11,54.06,3.57,2,Automotive,4,4.2,28,48,167,Mobile,UPI,52.93,12,1,160,4368.09,0.6159,Very Satisfied,Loyal Shopper
AMZ-100079,49,Non-Binary,Europe,2016,9,Prime,Gold,21,902.48,42.98,4.76,1,Office,3,4.8,38,22,178,Alexa,Net Banking,0.76,28,0,476,919.45,0.4798,Satisfied,Loyal Shopper
AMZ-100080,47,Female,North America,2015,10,Non-Prime,Silver,20,711.57,35.58,15.0,3,Sports,1,4.5,2,24,192,Alexa,Net Banking,37.38,29,1,323,966.15,0.5891,Neutral,Bargain Hunter
AMZ-100081,54,Non-Binary,South Asia,2019,6,Prime,Gold,15,13924.07,928.27,0.0,0,Books,6,3.1,38,16,107,Tablet,Cash on Delivery,70.33,23,2,61,18194.66,0.167,Neutral,Premium Spender
AMZ-100082,43,Non-Binary,East Asia,2016,9,Prime,Platinum,3,6.5,2.17,0.0,0,Grocery,9,1.8,48,4,18,Smart TV,Net Banking,76.58,5,4,53,9.65,0.8838,Dissatisfied,Inactive User
AMZ-100083,35,Non-Binary,Latin America,2016,9,Prime,Silver,3,378.5,126.17,66.67,2,Toys,1,3.1,23,3,51,Smart TV,Credit Card,71.79,34,4,119,520.03,0.0349,Neutral,Occasional Buyer
AMZ-100084,20,Non-Binary,East Asia,2023,2,Prime,Gold,18,9961.03,553.39,0.0,0,Toys,9,3.2,33,7,95,Desktop,Net Banking,68.97,8,0,260,13622.77,0.2814,Neutral,Premium Spender
AMZ-100085,23,Female,Middle East,2016,9,Non-Prime,Diamond,3,37.27,12.42,0.0,0,Automotive,5,1.5,47,1,15,Smart TV,Cash on Delivery,54.66,4,4,592,38.42,0.8829,Neutral,Inactive User
AMZ-100086,23,Female,East Asia,2015,10,Prime,Silver,4,90.65,22.66,25.0,1,Sports,8,2.1,18,2,1,Smart TV,Debit Card,69.45,27,0,570,129.96,0.7084,Very Dissatisfied,Inactive User
AMZ-100087,60,Non-Binary,Latin America,2019,6,Prime,Platinum,39,14161.08,363.1,5.13,2,Electronics,9,3.2,30,11,77,Smart TV,Cash on Delivery,66.07,9,2,436,19425.52,0.1608,Very Satisfied,Premium Spender
AMZ-100088,58,Female,South Asia,2015,10,Prime,Platinum,4,355.9,88.97,75.0,3,Beauty,1,3.5,39,2,48,Tablet,UPI,20.78,23,4,674,378.76,0.2833,Neutral,Occasional Buyer
AMZ-100089,46,Male,Middle East,2019,6,Prime,Silver,7,347.7,49.67,28.57,2,Home & Kitchen,6,3.9,3,15,37,Smart TV,Gift Card,13.9,35,1,323,400.02,0.7082,Satisfied,Occasional Buyer
AMZ-100090,52,Non-Binary,Southeast Asia,2018,7,Non-Prime,Diamond,0,58.22,58.22,100.0,1,Automotive,4,1.7,11,1,17,Mobile,Credit Card,1.97,10,0,645,69.04,0.8188,Dissatisfied,Inactive User
AMZ-100091,52,Female,Latin America,2015,10,Prime,Platinum,11,425.81,38.71,9.09,1,Office,9,2.9,38,4,43,Tablet,Gift Card,42.16,28,4,74,472.81,0.0824,Neutral,Occasional Buyer
AMZ-100092,64,Female,Southeast Asia,2019,6,Non-Prime,Platinum,3,65.45,21.82,0.0,0,Beauty,5,1.5,19,3,11,Smart TV,Amazon Pay,31.81,4,2,506,78.85,0.8941,Neutral,Inactive User
AMZ-100093,32,Male,North America,2016,9,Non-Prime,Gold,2,167.21,83.61,0.0,0,Beauty,8,2.1,45,12,33,Mobile,Net Banking,16.3,28,4,519,231.66,0.8448,Dissatisfied,Occasional Buyer
AMZ-100094,47,Male,South Asia,2023,2,Prime,Diamond,3,1.79,0.6,33.33,1,Sports,7,2.6,16,3,2,Alexa,Cash on Delivery,48.58,19,3,520,1.97,0.4916,Neutral,Inactive User
AMZ-100095,38,Female,North America,2022,3,Prime,Platinum,4,26.9,6.72,0.0,0,Home & Kitchen,2,2.6,29,0,12,Tablet,Debit Card,31.4,30,2,300,37.08,0.9526,Neutral,Inactive User
AMZ-100096,63,Non-Binary,Middle East,2023,2,Prime,Platinum,9,71.79,7.98,33.33,3,Electronics,6,3.0,21,17,50,Mobile,UPI,16.83,32,1,241,83.51,0.5177,Neutral,Occasional Buyer
AMZ-100097,55,Male,Latin America,2016,9,Prime,Silver,1,535.39,535.39,0.0,0,Electronics,7,2.2,25,7,35,Alexa,Amazon Pay,55.16,14,1,105,580.22,0.1046,Satisfied,Occasional Buyer
AMZ-100098,48,Female,Europe,2021,4,Prime,Silver,25,4490.64,179.63,0.0,0,Sports,9,4.8,49,13,45,Smart TV,Credit Card,74.82,7,1,317,6249.67,0.6123,Neutral,Premium Spender
AMZ-100099,58,Female,North America,2017,8,Non-Prime,Silver,11,562.57,51.14,63.64,7,Clothing,2,3.6,11,41,147,Desktop,Cash on Delivery,19.77,12,0,300,735.77,0.329,Satisfied,Bargain Hunter
AMZ-100100,23,Male,South Asia,2016,9,Prime,Diamond,3,74.43,24.81,0.0,0,Office,2,2.7,18,3,18,Alexa,Cash on Delivery,18.28,31,0,58,98.63,0.1995,Very Dissatisfied,Inactive User
AMZ-100101,47,Non-Binary,Southeast Asia,2015,10,Prime,Diamond,2,22.06,11.03,0.0,0,Sports,5,1.8,30,3,0,Alexa,Gift Card,33.27,23,3,515,30.17,0.7677,Dissatisfied,Inactive User
AMZ-100102,51,Non-Binary,North America,2019,6,Non-Prime,Silver,12,72.06,6.0,25.0,3,Home & Kitchen,4,3.7,1,4,50,Desktop,Amazon Pay,47.82,35,1,370,82.29,0.3592,Satisfied,Occasional Buyer
AMZ-100103,53,Male,South Asia,2022,3,Non-Prime,Silver,7,536.08,76.58,114.29,8,Clothing,7,3.8,41,45,188,Mobile,Gift Card,19.0,13,1,374,646.79,0.0691,Neutral,Bargain Hunter
AMZ-100104,45,Non-Binary,Southeast Asia,2023,2,Prime,Silver,28,9177.81,327.78,3.57,1,Home & Kitchen,2,3.7,34,21,109,Tablet,Net Banking,52.54,0,3,675,13628.23,0.4538,Very Satisfied,Premium Spender
AMZ-100105,18,Female,North America,2023,2,Non-Prime,Gold,11,536.04,48.73,27.27,3,Sports,5,2.9,19,10,19,Alexa,Net Banking,47.03,11,0,312,580.81,0.1676,Satisfied,Occasional Buyer
AMZ-100106,61,Male,Middle East,2020,5,Prime,Gold,76,3343.26,43.99,0.0,0,Sports,4,4.0,49,37,108,Desktop,Credit Card,78.94,8,4,19,3429.68,0.64,Satisfied,Loyal Shopper
AMZ-100107,67,Female,Middle East,2019,6,Non-Prime,Platinum,7,416.54,59.51,85.71,6,Automotive,8,4.4,42,39,101,Mobile,Gift Card,1.39,24,1,184,537.36,0.2542,Neutral,Bargain Hunter
AMZ-100108,33,Female,Europe,2018,7,Non-Prime,Diamond,11,318.87,28.99,27.27,3,Automotive,2,3.3,41,13,32,Mobile,UPI,58.63,7,1,340,333.84,0.6726,Satisfied,Occasional Buyer
AMZ-100109,35,Non-Binary,Europe,2016,9,Non-Prime,Platinum,10,707.7,70.77,30.0,3,Electronics,1,2.9,25,62,144,Mobile,Debit Card,69.51,39,0,587,747.72,0.7955,Satisfied,Bargain Hunter
AMZ-100110,58,Male,East Asia,2019,6,Non-Prime,Platinum,3,67.65,22.55,33.33,1,Office,2,1.4,49,4,13,Mobile,Cash on Delivery,48.4,8,0,680,101.25,0.7524,Neutral,Inactive User
AMZ-100111,36,Non-Binary,Latin America,2020,5,Prime,Platinum,72,3181.47,44.19,1.39,1,Clothing,6,4.6,33,13,161,Alexa,Gift Card,60.98,22,2,364,4482.43,0.1202,Satisfied,Loyal Shopper
AMZ-100112,36,Female,Europe,2019,6,Prime,Platinum,21,3069.1,146.15,14.29,3,Beauty,9,3.6,32,19,110,Mobile,Cash on Delivery,19.0,34,3,101,3181.42,0.6034,Satisfied,Premium Spender
AMZ-100113,65,Female,Latin America,2022,3,Prime,Platinum,65,3498.82,53.83,0.0,0,Toys,2,4.6,5,30,62,Alexa,Credit Card,73.14,28,1,664,4163.94,0.3988,Satisfied,Loyal Shopper
AMZ-100114,40,Female,Europe,2019,6,Prime,Silver,29,9403.23,324.25,3.45,1,Toys,7,4.2,15,17,82,Alexa,Cash on Delivery,51.8,14,0,714,11190.19,0.1972,Satisfied,Premium Spender
AMZ-100115,25,Non-Binary,Southeast Asia,2017,8,Prime,Silver,17,346.14,20.36,35.29,6,Home & Kitchen,4,2.7,29,71,206,Alexa,Amazon Pay,57.29,12,3,89,367.23,0.1811,Dissatisfied,Bargain Hunter
AMZ-100116,53,Non-Binary,Southeast Asia,2022,3,Prime,Gold,3,18.14,6.05,0.0,0,Sports,4,2.1,3,1,16,Alexa,Debit Card,6.96,0,3,375,22.92,0.1123,Very Dissatisfied,Inactive User
AMZ-100117,32,Non-Binary,Southeast Asia,2023,2,Prime,Silver,13,380.89,29.3,7.69,1,Office,8,3.6,41,9,37,Desktop,Net Banking,72.0,15,0,153,429.58,0.3021,Dissatisfied,Occasional Buyer
AMZ-100118,53,Non-Binary,North America,2017,8,Non-Prime,Diamond,43,4254.98,98.95,2.33,1,Books,1,4.1,49,27,148,Desktop,Cash on Delivery,12.24,34,3,225,5261.05,0.5354,Satisfied,Loyal Shopper
AMZ-100119,31,Male,Latin America,2023,2,Prime,Diamond,26,116.55,4.48,19.23,5,Sports,9,3.8,24,29,100,Alexa,Net Banking,79.02,34,4,657,140.11,0.4282,Satisfied,Bargain Hunter
